Side,Type,Metric,Value,relation_id,relation_label,model
tail,optimistic,adjusted_geometric_mean_rank_index,0.999997537452685,0,P31,distmult
both,optimistic,adjusted_geometric_mean_rank_index,0.99937044257589,0,P31,distmult
head,realistic,adjusted_geometric_mean_rank_index,0.8688758760203062,0,P31,distmult
tail,realistic,adjusted_geometric_mean_rank_index,0.9999975374528547,0,P31,distmult
both,realistic,adjusted_geometric_mean_rank_index,0.9993704422261234,0,P31,distmult
head,pessimistic,adjusted_geometric_mean_rank_index,0.8688758327836106,0,P31,distmult
tail,pessimistic,adjusted_geometric_mean_rank_index,0.9999975374525503,0,P31,distmult
both,pessimistic,adjusted_geometric_mean_rank_index,0.9993704425055304,0,P31,distmult
head,optimistic,arithmetic_mean_rank,730034.1230769231,0,P31,distmult
tail,optimistic,arithmetic_mean_rank,32238.908791208793,0,P31,distmult
both,optimistic,arithmetic_mean_rank,381136.5159340659,0,P31,distmult
head,realistic,arithmetic_mean_rank,730034.1875,0,P31,distmult
tail,realistic,arithmetic_mean_rank,32238.916015625,0,P31,distmult
both,realistic,arithmetic_mean_rank,381136.5625,0,P31,distmult
head,pessimistic,arithmetic_mean_rank,730034.2010989011,0,P31,distmult
tail,pessimistic,arithmetic_mean_rank,32238.925274725276,0,P31,distmult
both,pessimistic,arithmetic_mean_rank,381136.5631868132,0,P31,distmult
head,optimistic,median_absolute_deviation,549574.6968612028,0,P31,distmult
tail,optimistic,median_absolute_deviation,0.0,0,P31,distmult
both,optimistic,median_absolute_deviation,4745.809701436432,0,P31,distmult
head,realistic,median_absolute_deviation,549574.6968612028,0,P31,distmult
tail,realistic,median_absolute_deviation,0.0,0,P31,distmult
both,realistic,median_absolute_deviation,4745.809701436432,0,P31,distmult
head,pessimistic,median_absolute_deviation,549574.6968612028,0,P31,distmult
tail,pessimistic,median_absolute_deviation,0.0,0,P31,distmult
both,pessimistic,median_absolute_deviation,4745.809701436432,0,P31,distmult
head,optimistic,z_inverse_harmonic_mean_rank,25.47352091335185,0,P31,distmult
tail,optimistic,z_inverse_harmonic_mean_rank,34272.53132192284,0,P31,distmult
both,optimistic,z_inverse_harmonic_mean_rank,24252.152514168647,0,P31,distmult
head,realistic,z_inverse_harmonic_mean_rank,25.47352051650984,0,P31,distmult
tail,realistic,z_inverse_harmonic_mean_rank,34272.5273498682,0,P31,distmult
both,realistic,z_inverse_harmonic_mean_rank,24252.15099512807,0,P31,distmult
head,pessimistic,z_inverse_harmonic_mean_rank,25.473520770457437,0,P31,distmult
tail,pessimistic,z_inverse_harmonic_mean_rank,34272.5313219039,0,P31,distmult
both,pessimistic,z_inverse_harmonic_mean_rank,24252.152514054214,0,P31,distmult
head,optimistic,z_arithmetic_mean_rank,36.4159786244512,0,P31,distmult
