Side,Type,Metric,Value,relation_id,relation_label,model
tail,pessimistic,z_arithmetic_mean_rank,50.32527604555115,0,P31,simple
both,pessimistic,z_arithmetic_mean_rank,43.39027468889374,0,P31,simple
head,optimistic,harmonic_mean_rank,151020.38046541653,0,P31,simple
tail,optimistic,harmonic_mean_rank,6.610200572885921,0,P31,simple
both,optimistic,harmonic_mean_rank,13.219822510768639,0,P31,simple
head,realistic,harmonic_mean_rank,151020.38675039844,0,P31,simple
tail,realistic,harmonic_mean_rank,6.610200487199033,0,P31,simple
both,realistic,harmonic_mean_rank,13.219821518553962,0,P31,simple
head,pessimistic,harmonic_mean_rank,151020.39156568755,0,P31,simple
tail,pessimistic,harmonic_mean_rank,6.610200575132569,0,P31,simple
both,pessimistic,harmonic_mean_rank,13.219822515304074,0,P31,simple
head,optimistic,inverse_harmonic_mean_rank,6.621622836058202e-06,0,P31,simple
tail,optimistic,inverse_harmonic_mean_rank,0.15128133994932835,0,P31,simple
both,optimistic,inverse_harmonic_mean_rank,0.07564398078608221,0,P31,simple
head,realistic,inverse_harmonic_mean_rank,6.621622560487594e-06,0,P31,simple
tail,realistic,inverse_harmonic_mean_rank,0.15128134191036224,0,P31,simple
both,realistic,inverse_harmonic_mean_rank,0.07564398646354675,0,P31,simple
head,pessimistic,inverse_harmonic_mean_rank,6.621622349356986e-06,0,P31,simple
tail,pessimistic,inverse_harmonic_mean_rank,0.15128133989791145,0,P31,simple
both,pessimistic,inverse_harmonic_mean_rank,0.0756439807601304,0,P31,simple
head,optimistic,inverse_geometric_mean_rank,8.057011592326473e-07,0,P31,simple
tail,optimistic,inverse_geometric_mean_rank,0.002475981793263821,0,P31,simple
both,optimistic,inverse_geometric_mean_rank,4.466431910453341e-05,0,P31,simple
head,realistic,inverse_geometric_mean_rank,8.057016316342924e-07,0,P31,simple
tail,realistic,inverse_geometric_mean_rank,0.0024759809020906687,0,P31,simple
both,realistic,inverse_geometric_mean_rank,4.4664324377663434e-05,0,P31,simple
head,pessimistic,inverse_geometric_mean_rank,8.057009020530934e-07,0,P31,simple
tail,pessimistic,inverse_geometric_mean_rank,0.0024759802068353045,0,P31,simple
both,pessimistic,inverse_geometric_mean_rank,4.4664297667295785e-05,0,P31,simple
head,optimistic,variance,1675147938171.022,0,P31,simple
tail,optimistic,variance,164290498851.60358,0,P31,simple
both,optimistic,variance,1740063480533.5576,0,P31,simple
head,realistic,variance,1675148263424.0,0,P31,simple
tail,realistic,variance,164290592768.0,0,P31,simple
both,realistic,variance,1740063899648.0,0,P31,simple
head,pessimistic,variance,1675148650772.2913,0,P31,simple
tail,pessimistic,variance,164290681886.8943,0,P31,simple
both,pessimistic,variance,1740064382211.497,0,P31,simple
head,optimistic,median_rank,1743289.5,0,P31,simple
tail,optimistic,median_rank,491.5,0,P31,simple
both,optimistic,median_rank,216954.0,0,P31,simple
head,realistic,median_rank,1743289.75,0,P31,simple
tail,realistic,median_rank,491.5,0,P31,simple
both,realistic,median_rank,216954.0,0,P31,simple
