Side,Type,Metric,Value,relation_id,relation_label,model
tail,pessimistic,harmonic_mean_rank,7.183531261803402,0,P31,complex
both,pessimistic,harmonic_mean_rank,14.34634418352842,0,P31,complex
head,optimistic,inverse_harmonic_mean_rank,0.0002010368759787739,0,P31,complex
tail,optimistic,inverse_harmonic_mean_rank,0.13920730119512903,0,P31,complex
both,optimistic,inverse_harmonic_mean_rank,0.0697041690355539,0,P31,complex
head,realistic,inverse_harmonic_mean_rank,0.00020103689166717234,0,P31,complex
tail,realistic,inverse_harmonic_mean_rank,0.13920730352401733,0,P31,complex
both,realistic,inverse_harmonic_mean_rank,0.06970416754484177,0,P31,complex
head,pessimistic,inverse_harmonic_mean_rank,0.00020103687536283233,0,P31,complex
tail,pessimistic,inverse_harmonic_mean_rank,0.13920730119422536,0,P31,complex
both,pessimistic,inverse_harmonic_mean_rank,0.0697041690347941,0,P31,complex
head,optimistic,inverse_geometric_mean_rank,1.1898718330345158e-06,0,P31,complex
tail,optimistic,inverse_geometric_mean_rank,0.005534055796988331,0,P31,complex
both,optimistic,inverse_geometric_mean_rank,8.11468860479426e-05,0,P31,complex
head,realistic,inverse_geometric_mean_rank,1.189872364193434e-06,0,P31,complex
tail,realistic,inverse_geometric_mean_rank,0.005534057505428791,0,P31,complex
both,realistic,inverse_geometric_mean_rank,8.114681259030476e-05,0,P31,complex
head,pessimistic,inverse_geometric_mean_rank,1.1898716033373061e-06,0,P31,complex
tail,pessimistic,inverse_geometric_mean_rank,0.00553405492838345,0,P31,complex
both,pessimistic,inverse_geometric_mean_rank,8.114687184723977e-05,0,P31,complex
head,optimistic,variance,2114008734460.0637,0,P31,complex
tail,optimistic,variance,111283299957.23997,0,P31,complex
both,optimistic,variance,1837866043934.82,0,P31,complex
head,realistic,variance,2114008907776.0,0,P31,complex
tail,realistic,variance,111283355648.0,0,P31,complex
both,realistic,variance,1837866024960.0,0,P31,complex
head,pessimistic,variance,2114008971450.605,0,P31,complex
tail,pessimistic,variance,111283425620.24152,0,P31,complex
both,pessimistic,variance,1837866372185.7385,0,P31,complex
head,optimistic,median_rank,1449833.5,0,P31,complex
tail,optimistic,median_rank,44.5,0,P31,complex
both,optimistic,median_rank,102888.5,0,P31,complex
head,realistic,median_rank,1449834.5,0,P31,complex
tail,realistic,median_rank,44.5,0,P31,complex
both,realistic,median_rank,102888.75,0,P31,complex
head,pessimistic,median_rank,1449835.5,0,P31,complex
tail,pessimistic,median_rank,44.5,0,P31,complex
both,pessimistic,median_rank,102889.0,0,P31,complex
head,optimistic,inverse_median_rank,6.897343729469625e-07,0,P31,complex
tail,optimistic,inverse_median_rank,0.02247191011235955,0,P31,complex
both,optimistic,inverse_median_rank,9.719259198063923e-06,0,P31,complex
head,realistic,inverse_median_rank,6.897338948874676e-07,0,P31,complex
tail,realistic,inverse_median_rank,0.02247191034257412,0,P31,complex
both,realistic,inverse_median_rank,9.719236004457343e-06,0,P31,complex
head,pessimistic,inverse_median_rank,6.897334214812646e-07,0,P31,complex
tail,pessimistic,inverse_median_rank,0.02247191011235955,0,P31,complex
both,pessimistic,inverse_median_rank,9.719211966293774e-06,0,P31,complex
head,optimistic,adjusted_arithmetic_mean_rank_index,0.2579959188094958,0,P31,complex
tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9649908876312729,0,P31,complex
both,optimistic,adjusted_arithmetic_mean_rank_index,0.6114992214539419,0,P31,complex
head,realistic,adjusted_arithmetic_mean_rank_index,0.25799588801925355,0,P31,complex
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9649908755365226,0,P31,complex
both,realistic,adjusted_arithmetic_mean_rank_index,0.6114991854185478,0,P31,complex
head,pessimistic,adjusted_arithmetic_mean_rank_index,0.25799582028072054,0,P31,complex
tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9649908607192064,0,P31,complex
both,pessimistic,adjusted_arithmetic_mean_rank_index,0.6114991587341103,0,P31,complex
head,optimistic,z_geometric_mean_rank,15.884097086026454,0,P31,complex
tail,optimistic,z_geometric_mean_rank,30.188398958210445,0,P31,complex
both,optimistic,z_geometric_mean_rank,42.38297691929634,0,P31,complex
head,realistic,z_geometric_mean_rank,15.884103916113698,0,P31,complex
tail,realistic,z_geometric_mean_rank,30.188398959047394,0,P31,complex
both,realistic,z_geometric_mean_rank,42.38297665475869,0,P31,complex
head,pessimistic,z_geometric_mean_rank,15.884094324077354,0,P31,complex
tail,pessimistic,z_geometric_mean_rank,30.18839895772763,0,P31,complex
both,pessimistic,z_geometric_mean_rank,42.38297686738351,0,P31,complex
head,optimistic,inverse_arithmetic_mean_rank,5.59427985745234e-07,0,P31,complex
tail,optimistic,inverse_arithmetic_mean_rank,1.1856327318644541e-05,0,P31,complex
both,optimistic,inverse_arithmetic_mean_rank,1.06844265976479e-06,0,P31,complex
head,realistic,inverse_arithmetic_mean_rank,5.594279741671926e-07,0,P31,complex
tail,realistic,inverse_arithmetic_mean_rank,1.1856322998937685e-05,0,P31,complex
both,realistic,inverse_arithmetic_mean_rank,1.068442543328274e-06,0,P31,complex
head,pessimistic,inverse_arithmetic_mean_rank,5.594279114603109e-07,0,P31,complex
tail,pessimistic,inverse_arithmetic_mean_rank,1.1856318204610503e-05,0,P31,complex
both,pessimistic,inverse_arithmetic_mean_rank,1.068442487274888e-06,0,P31,complex
head,optimistic,adjusted_inverse_harmonic_mean_rank,0.00019772398770585994,0,P31,complex
tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.13920444899969037,0,P31,complex
both,optimistic,adjusted_inverse_harmonic_mean_rank,0.06970108649725132,0,P31,complex
head,realistic,adjusted_inverse_harmonic_mean_rank,0.00019772400339431037,0,P31,complex
tail,realistic,adjusted_inverse_harmonic_mean_rank,0.1392044513285864,0,P31,complex
both,realistic,adjusted_inverse_harmonic_mean_rank,0.06970108500653426,0,P31,complex
head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.00019772398708991633,0,P31,complex
tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.13920444899878667,0,P31,complex
both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.06970108649649151,0,P31,complex
head,optimistic,geometric_mean_rank,840426.6512047034,0,P31,complex
tail,optimistic,geometric_mean_rank,180.69929843212034,0,P31,complex
both,optimistic,geometric_mean_rank,12323.331783910813,0,P31,complex
head,realistic,geometric_mean_rank,840426.25,0,P31,complex
tail,realistic,geometric_mean_rank,180.69924926757812,0,P31,complex
both,realistic,geometric_mean_rank,12323.3427734375,0,P31,complex
head,pessimistic,geometric_mean_rank,840426.8134437685,0,P31,complex
tail,pessimistic,geometric_mean_rank,180.69932679401674,0,P31,complex
both,pessimistic,geometric_mean_rank,12323.333940493914,0,P31,complex
head,optimistic,hits_at_1,0.0,0,P31,complex
tail,optimistic,hits_at_1,0.0032967032967032967,0,P31,complex
both,optimistic,hits_at_1,0.0016483516483516484,0,P31,complex
head,realistic,hits_at_1,0.0,0,P31,complex
tail,realistic,hits_at_1,0.0032967032967032967,0,P31,complex
both,realistic,hits_at_1,0.0016483516483516484,0,P31,complex
head,pessimistic,hits_at_1,0.0,0,P31,complex
tail,pessimistic,hits_at_1,0.0032967032967032967,0,P31,complex
both,pessimistic,hits_at_1,0.0016483516483516484,0,P31,complex
head,optimistic,hits_at_3,0.0,0,P31,complex
tail,optimistic,hits_at_3,0.22197802197802197,0,P31,complex
both,optimistic,hits_at_3,0.11098901098901098,0,P31,complex
head,realistic,hits_at_3,0.0,0,P31,complex
tail,realistic,hits_at_3,0.22197802197802197,0,P31,complex
both,realistic,hits_at_3,0.11098901098901098,0,P31,complex
head,pessimistic,hits_at_3,0.0,0,P31,complex
tail,pessimistic,hits_at_3,0.22197802197802197,0,P31,complex
both,pessimistic,hits_at_3,0.11098901098901098,0,P31,complex
head,optimistic,hits_at_5,0.0,0,P31,complex
tail,optimistic,hits_at_5,0.3241758241758242,0,P31,complex
both,optimistic,hits_at_5,0.1620879120879121,0,P31,complex
head,realistic,hits_at_5,0.0,0,P31,complex
tail,realistic,hits_at_5,0.3241758241758242,0,P31,complex
both,realistic,hits_at_5,0.1620879120879121,0,P31,complex
head,pessimistic,hits_at_5,0.0,0,P31,complex
tail,pessimistic,hits_at_5,0.3241758241758242,0,P31,complex
both,pessimistic,hits_at_5,0.1620879120879121,0,P31,complex
head,optimistic,hits_at_10,0.0,0,P31,complex
tail,optimistic,hits_at_10,0.4230769230769231,0,P31,complex
both,optimistic,hits_at_10,0.21153846153846154,0,P31,complex
head,realistic,hits_at_10,0.0,0,P31,complex
tail,realistic,hits_at_10,0.4230769230769231,0,P31,complex
both,realistic,hits_at_10,0.21153846153846154,0,P31,complex
head,pessimistic,hits_at_10,0.0,0,P31,complex
tail,pessimistic,hits_at_10,0.4230769230769231,0,P31,complex
both,pessimistic,hits_at_10,0.21153846153846154,0,P31,complex
head,optimistic,z_hits_at_k,-0.04345917391969256,0,P31,complex
tail,optimistic,z_hits_at_k,8859.009794502437,0,P31,complex
both,optimistic,z_hits_at_k,6264.1836158313745,0,P31,complex
head,realistic,z_hits_at_k,-0.04345917391969256,0,P31,complex
tail,realistic,z_hits_at_k,8859.009794502437,0,P31,complex
both,realistic,z_hits_at_k,6264.1836158313745,0,P31,complex
head,pessimistic,z_hits_at_k,-0.04345917391969256,0,P31,complex
tail,pessimistic,z_hits_at_k,8859.009794502437,0,P31,complex
both,pessimistic,z_hits_at_k,6264.1836158313745,0,P31,complex
head,optimistic,adjusted_hits_at_k,-2.0754942832770132e-06,0,P31,complex
tail,optimistic,adjusted_hits_at_k,0.42307572571579205,0,P31,complex
both,optimistic,adjusted_hits_at_k,0.21153682511798083,0,P31,complex
head,realistic,adjusted_hits_at_k,-2.0754942832770132e-06,0,P31,complex
tail,realistic,adjusted_hits_at_k,0.42307572571579205,0,P31,complex
both,realistic,adjusted_hits_at_k,0.21153682511798083,0,P31,complex
head,pessimistic,adjusted_hits_at_k,-2.0754942832770132e-06,0,P31,complex
tail,pessimistic,adjusted_hits_at_k,0.42307572571579205,0,P31,complex
both,pessimistic,adjusted_hits_at_k,0.21153682511798083,0,P31,complex
head,optimistic,adjusted_arithmetic_mean_rank,0.4757283512075132,1,P1412,complex
tail,optimistic,adjusted_arithmetic_mean_rank,0.02101740615491557,1,P1412,complex
both,optimistic,adjusted_arithmetic_mean_rank,0.24837254768596226,1,P1412,complex
head,realistic,adjusted_arithmetic_mean_rank,0.4757284000410959,1,P1412,complex
tail,realistic,adjusted_arithmetic_mean_rank,0.02101741292674033,1,P1412,complex
both,realistic,adjusted_arithmetic_mean_rank,0.24837258278504873,1,P1412,complex
head,pessimistic,adjusted_arithmetic_mean_rank,0.4757284854998657,1,P1412,complex
tail,pessimistic,adjusted_arithmetic_mean_rank,0.0210174183632757,1,P1412,complex
both,pessimistic,adjusted_arithmetic_mean_rank,0.2483726209362297,1,P1412,complex
head,optimistic,count,68.0,1,P1412,complex
tail,optimistic,count,68.0,1,P1412,complex
both,optimistic,count,136.0,1,P1412,complex
head,realistic,count,68.0,1,P1412,complex
tail,realistic,count,68.0,1,P1412,complex
both,realistic,count,136.0,1,P1412,complex
head,pessimistic,count,68.0,1,P1412,complex
tail,pessimistic,count,68.0,1,P1412,complex
both,pessimistic,count,136.0,1,P1412,complex
head,optimistic,standard_deviation,1171830.8017203005,1,P1412,complex
tail,optimistic,standard_deviation,131454.82128756098,1,P1412,complex
both,optimistic,standard_deviation,997619.0977496082,1,P1412,complex
head,realistic,standard_deviation,1171830.875,1,P1412,complex
tail,realistic,standard_deviation,131454.875,1,P1412,complex
both,realistic,standard_deviation,997619.1875,1,P1412,complex
head,pessimistic,standard_deviation,1171830.9635584876,1,P1412,complex
tail,pessimistic,standard_deviation,131454.95114768177,1,P1412,complex
both,pessimistic,standard_deviation,997619.2820961523,1,P1412,complex
head,optimistic,adjusted_geometric_mean_rank_index,0.7664314083710115,1,P1412,complex
tail,optimistic,adjusted_geometric_mean_rank_index,0.9992138729764639,1,P1412,complex
both,optimistic,adjusted_geometric_mean_rank_index,0.9863960740411795,1,P1412,complex
head,realistic,adjusted_geometric_mean_rank_index,0.7664315870828171,1,P1412,complex
tail,realistic,adjusted_geometric_mean_rank_index,0.9992138731273951,1,P1412,complex
both,realistic,adjusted_geometric_mean_rank_index,0.9863960820829661,1,P1412,complex
head,pessimistic,adjusted_geometric_mean_rank_index,0.76643132077818,1,P1412,complex
tail,pessimistic,adjusted_geometric_mean_rank_index,0.9992138729395694,1,P1412,complex
both,pessimistic,adjusted_geometric_mean_rank_index,0.9863960711711948,1,P1412,complex
head,optimistic,arithmetic_mean_rank,1146097.3823529412,1,P1412,complex
tail,optimistic,arithmetic_mean_rank,50634.07352941176,1,P1412,complex
both,optimistic,arithmetic_mean_rank,598365.7279411765,1,P1412,complex
